graph_name,vertex_count,edge_probability,num_3_cycles,num_4_cycles,total_cycles,h1_dimension,group,edge_graph_time_sec,cellular_time_sec,cubical_time_sec,ratio_cellular_over_edge,ratio_cubical_over_edge,ratio_cellular_over_cubical,fastest_method
erdos_renyi_223_0.13,223,0.13,4252,92789,97041,0,Variable Vertices/High Edge Probability,18.203996896743774,1.632210951,2444.54836909,0.0897,134.2864,0.0007,cellular
erdos_renyi_225_0.13,225,0.13,3936,82484,86420,0,Variable Vertices/High Edge Probability,18.684659957885746,1.373029211,2198.155862184,0.0735,117.6449,0.0006,cellular
erdos_renyi_227_0.13,227,0.13,4252,93730,97982,0,Variable Vertices/High Edge Probability,25.27947211265564,1.512087077,3506.169489734,0.0598,138.6963,0.0004,cellular
erdos_renyi_228_0.13,228,0.13,4023,87108,91131,0,Variable Vertices/High Edge Probability,16.818201065063477,1.521601025,,0.0905,,,cellular
erdos_renyi_230_0.13,230,0.13,4168,91981,96149,0,Variable Vertices/High Edge Probability,26.923838138580322,1.523638506,2824.082770811,0.0566,104.8915,0.0005,cellular
erdos_renyi_231_0.13,231,0.13,4265,91396,95661,0,Variable Vertices/High Edge Probability,21.81566691398621,1.517496041,,0.0696,,,cellular
erdos_renyi_232_0.13,232,0.13,4547,98941,103488,0,Variable Vertices/High Edge Probability,25.19271492958069,1.751248937,3026.649456519,0.0695,120.1399,0.0006,cellular
erdos_renyi_233_0.13,233,0.13,4623,107481,112104,0,Variable Vertices/High Edge Probability,30.707846879959106,1.940509032,3982.926079386,0.0632,129.7039,0.0005,cellular
erdos_renyi_234_0.13,234,0.13,4582,102077,106659,0,Variable Vertices/High Edge Probability,26.725824117660522,2.013154414,,0.0753,,,cellular
erdos_renyi_237_0.13,237,0.13,4565,104052,108617,0,Variable Vertices/High Edge Probability,27.33906602859497,2.065152917,3131.020893747,0.0755,114.5255,0.0007,cellular
erdos_renyi_238_0.13,238,0.13,4991,114023,119014,0,Variable Vertices/High Edge Probability,33.99301815032959,2.316289926,4798.082591293,0.0681,141.1491,0.0005,cellular
erdos_renyi_240_0.13,240,0.13,5418,129837,135255,0,Variable Vertices/High Edge Probability,34.700798988342285,4.567830286,,0.1316,,,cellular
erdos_renyi_242_0.13,242,0.13,5149,118433,123582,0,Variable Vertices/High Edge Probability,25.452064990997314,2.336761155,4460.275750655,0.0918,175.2422,0.0005,cellular
erdos_renyi_243_0.13,243,0.13,5220,125550,130770,0,Variable Vertices/High Edge Probability,33.968008041381836,4.419939471,4801.13393163,0.1301,141.3428,0.0009,cellular
erdos_renyi_244_0.13,244,0.13,4921,114775,119696,0,Variable Vertices/High Edge Probability,25.09804081916809,2.359851228,,0.0940,,,cellular
erdos_renyi_245_0.13,245,0.13,5331,122914,128245,0,Variable Vertices/High Edge Probability,34.22799015045166,4.483931159,4475.589379696,0.1310,130.7582,0.0010,cellular
erdos_renyi_246_0.13,246,0.13,5147,119764,124911,0,Variable Vertices/High Edge Probability,32.23790216445923,4.268166005,4470.573164314,0.1324,138.6744,0.0010,cellular
erdos_renyi_247_0.13,247,0.13,5080,116090,121170,0,Variable Vertices/High Edge Probability,33.46056604385376,4.253384536,,0.1271,,,cellular
erdos_renyi_248_0.13,248,0.13,5588,132740,138328,0,Variable Vertices/High Edge Probability,85.13092803955078,4.885144546,6166.338174976,0.0574,72.4336,0.0008,cellular
erdos_renyi_249_0.13,249,0.13,5736,139883,145619,0,Variable Vertices/High Edge Probability,91.28383803367615,5.301498592,4999.769537554,0.0581,54.7717,0.0011,cellular
erdos_renyi_253_0.13,253,0.13,5896,144650,150546,0,Variable Vertices/High Edge Probability,41.336902141571045,3.538940248,,0.0856,,,cellular
erdos_renyi_254_0.13,254,0.13,6354,156425,162779,0,Variable Vertices/High Edge Probability,34.78752613067627,3.39099961,6732.390510552,0.0975,193.5289,0.0005,cellular
erdos_renyi_255_0.13,255,0.13,6417,160133,166550,0,Variable Vertices/High Edge Probability,39.63657093048096,3.588059305,8756.775505789,0.0905,220.9267,0.0004,cellular
erdos_renyi_256_0.13,256,0.13,6426,162907,169333,0,Variable Vertices/High Edge Probability,39.58021688461304,3.501817798,,0.0885,,,cellular
erdos_renyi_257_0.13,257,0.13,6091,151194,157285,0,Variable Vertices/High Edge Probability,48.70230507850647,3.466315186,5147.028591558,0.0712,105.6835,0.0007,cellular
erdos_renyi_258_0.13,258,0.13,5889,146312,152201,0,Variable Vertices/High Edge Probability,34.97277903556824,3.558549391,,0.1018,,,cellular
erdos_renyi_259_0.13,259,0.13,6468,159657,166125,0,Variable Vertices/High Edge Probability,41.483699798583984,3.470629187,9940.891741107,0.0837,239.6337,0.0003,cellular
erdos_renyi_262_0.13,262,0.13,6016,147021,153037,0,Variable Vertices/High Edge Probability,34.332468032836914,3.277547874,,0.0955,,,cellular
erdos_renyi_263_0.13,263,0.13,6587,167242,173829,0,Variable Vertices/High Edge Probability,47.558759927749634,3.603199285,,0.0758,,,cellular
erdos_renyi_264_0.13,264,0.13,6556,166738,173294,0,Variable Vertices/High Edge Probability,69.814377784729,3.763094658,7895.048021459,0.0539,113.0863,0.0005,cellular
erdos_renyi_265_0.13,265,0.13,6966,183495,190461,0,Variable Vertices/High Edge Probability,53.05859708786011,4.564456725,,0.0860,,,cellular
erdos_renyi_266_0.13,266,0.13,6597,166580,173177,0,Variable Vertices/High Edge Probability,51.886839151382446,3.600285813,,0.0694,,,cellular
erdos_renyi_267_0.13,267,0.13,6744,175820,182564,0,Variable Vertices/High Edge Probability,54.78241300582886,4.239374374,6670.733052646,0.0774,121.7678,0.0006,cellular
erdos_renyi_268_0.13,268,0.13,6910,181133,188043,0,Variable Vertices/High Edge Probability,48.04498100280762,4.576110638,,0.0952,,,cellular
erdos_renyi_269_0.13,269,0.13,6901,176284,183185,0,Variable Vertices/High Edge Probability,51.22217893600464,4.627427803,6673.206631878,0.0903,130.2796,0.0007,cellular
erdos_renyi_272_0.13,272,0.13,7112,183981,191093,0,Variable Vertices/High Edge Probability,55.30870819091797,4.643046047,7982.931509219,0.0839,144.3341,0.0006,cellular
